Place,Coordinates,Time,PIN Code,Region
"2M56+8WH, Service Rd, B Channasandra, Kasturi Nagar, Bengaluru, Karnataka 560043, India",(13.0083959 - 77.662635),2024-06-03 13:49:23,560043,Indiranagar
"XMW7+HV2 Benniganahalli Flyover 1, Krishna Reddy Industrial Estate, Dooravani Nagar, Bengaluru, Karnataka 560016, India",(12.9960779 - 77.6649705),2024-06-03 13:52:05,560016,Indiranagar
"134, Krishna Reddy Industrial Estate, Dooravani Nagar, Bengaluru, Karnataka 560016, India",(12.9964137 - 77.6679434),2024-06-03 13:54:47,560016,Indiranagar
"17, Old Madras Rd, Krishna Reddy Industrial Estate, Krishnarajapuram, Bengaluru, Karnataka 560016, India",(12.9974731 - 77.6701272),2024-06-03 13:57:29,560016,Indiranagar
"XMXC+8PC, Dooravani Nagar, Bengaluru, Karnataka 560016, India",(12.998196 - 77.6717406),2024-06-03 14:00:11,560016,Indiranagar
"78, Old Madras Rd, Jyothi Puram, Dooravani Nagar, Bengaluru, Karnataka 560016, India",(12.9991324 - 77.6737094),2024-06-03 14:02:53,560016,Indiranagar
"Krishnarajapuram railway station, Dooravani Nagar, Bengaluru, Karnataka 560016, India",(12.9999175 - 77.6754436),2024-06-03 14:05:35,560016,Indiranagar
"02, A Narayanapura Extension, Mahadevapura, Bengaluru, Karnataka 560016, India",(12.99697 - 77.6833555),2024-06-03 14:08:18,560016,Indiranagar
"19/3, Chinappa Layout, Mahadevapura, Bengaluru, Karnataka 560048, India",(12.9907317 - 77.6872367),2024-06-03 14:11:00,560048,Electronic City
"370, Chinappa Layout, Mahadevapura, Bengaluru, Karnataka 560048, India",(12.9893383 - 77.6871433),2024-06-03 14:14:43,560048,Electronic City
"4, A Main Rd, Phase 2, B, Chinappa Layout, Mahadevapura, Bengaluru, Karnataka 560093, India",(12.9892422 - 77.6871069),2024-06-03 14:19:26,560093,Rajajinagar
"370, Chinappa Layout, Mahadevapura, Bengaluru, Karnataka 560048, India",(12.9892955 - 77.6871483),2024-06-03 14:24:43,560048,Electronic City
"174, Service Rd, near Choice Bakery & Sweets, Mahadevapura, Bengaluru, Karnataka 560016, India",(12.9910043 - 77.6873051),2024-06-03 14:29:14,560016,Indiranagar
"2M2H+6F5, Chinappa Colony, Mahadevapura, Bengaluru, Karnataka 560016, India",(13.0002062 - 77.6788731),2024-06-03 14:31:57,560016,Indiranagar
"Arden Fair, 1st Main Rd, Sakshi Nagar, Pai Layout, Mahadevapura, Bengaluru, Karnataka 560016, India",(12.9954252 - 77.6661637),2024-06-03 14:34:40,560016,Indiranagar
"Kasturi Nagar Bus Stop, East of NGEF Layout, Kasturi Nagar, Bengaluru, Karnataka 560043, India",(13.0041685 - 77.6631204),2024-06-03 14:37:22,560043,Indiranagar
"109, Vijaya Bank Colony, Banaswadi, Bengaluru, Karnataka 560043, India",(13.0162483 - 77.6617955),2024-06-03 14:40:04,560043,Indiranagar
"2JCX+HGP, 12th Main Rd, HRBR Layout 1st Block, HAL 2nd Stage, Appareddipalya, Indiranagar, Bengaluru, Karnataka 560043, India",(13.0217668 - 77.6488352),2024-06-03 14:42:46,560043,Indiranagar
"30, 5th A Cross Rd, HRBR Layout 3rd Block, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043, India",(13.0266843 - 77.6353526),2024-06-03 14:45:28,560043,Indiranagar
